"","BPGSA_DiseaseGenes@score"
"GO:0045586",0.924999822551628
"GO:0061402",0.0487234719056341
"GO:0044319",0.831283774028767
"GO:0045589",0.0159139524481605
"GO:0023041",0.167776102615044
"GO:0032870",0.0702445663767023
"GO:0044340",0.549562982396737
"GO:0044341",0.862076138964011
"GO:0044342",0.905374012711863
"GO:0032872",0.954848766732429
"GO:0032873",0.506232601578336
"GO:1902679",0.0263228193195236
"GO:0032874",0.988098647437609
"GO:0044344",0.708329651690053
"GO:0042060",0.996317892697221
"GO:0038190",0.540169133192389
"GO:0044346",0.228114651062835
"GO:0032878",0.664185518063068
"GO:0045576",0.904643375921066
"GO:0038192",0.396795454863492
"GO:0032879",1.11150048513042e-51
"GO:0045577",0.782558555088994
"GO:0042063",0.0019077319535909
"GO:0045578",0.748178106255859
"GO:0045579",0.766921805447338
"GO:1902622",0.782423015850583
"GO:1902624",0.483246923629808
"GO:0023035",0.539420249599936
"GO:0042069",1.90613037608488e-05
"GO:0044331",0.787152932123593
"GO:0050783",0.157456060880594
"GO:0009161",0.144676437355688
"GO:0009162",0.314661057572009
"GO:0032823",0.812152535764775
"GO:0009163",0.541762044748206
"GO:0044334",0.0516186981615258
"GO:0009164",0.878723037503727
"GO:0032825",0.620373038958209
"GO:0009165",0.851941613202459
"GO:0044336",0.448419642887961
"GO:0009166",0.168202767734108
"GO:0050789",7.515871876946e-41
"GO:0009167",0.163081036088665
"GO:0044338",0.0383245832569004
"GO:0009168",0.192694726656991
"GO:0032829",0.160863719248267
"GO:0044339",0.203727083368369
"GO:0042053",0.68160318271553
"GO:0009169",0.813425458203511
"GO:0090400",0.192545182511221
"GO:1902612",0.229240596167495
"GO:1902613",0.230899830220713
"GO:0090402",0.669602529358627
"GO:0050770",0.0235336411007222
"GO:0042058",0.800285750683907
"GO:0090403",0.806063858854756
"GO:0050771",0.836885786417311
"GO:0042059",0.997867683803337
"GO:0050772",0.35766495576943
"GO:1902616",0.672433999758024
"GO:0009150",0.230653540819322
"GO:0051960",0.000430972061592524
"GO:1902617",0.877504470386788
"GO:0032811",0.138655462184874
"GO:0050773",0.154171249562506
"GO:0009151",0.766762532402338
"GO:0051961",0.0546634919966858
"GO:0032812",0.701754385964912
"GO:0050774",0.709105071434114
"GO:0009152",0.632901838248956
"GO:0051962",7.54604464849589e-05
"GO:0090407",0.0713635294550958
"GO:0050775",0.908111227208381
"GO:0009153",0.269919914433794
